epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1997.87,1.17318,0.59202,1.04771,0.92678,0.8833,0.93445,0.62177,1.22077,0.54006,1.10095,0.000962859,0.000962859,0.000962859
66,2028.12,1.16834,0.59402,1.04578,0.92628,0.87747,0.9366,0.61903,1.23278,0.54458,1.10873,0.000951857,0.000951857,0.000951857
67,2058.41,1.16464,0.59168,1.04187,0.92478,0.88,0.93317,0.61969,1.23039,0.54289,1.10492,0.000940855,0.000940855,0.000940855
68,2088.66,1.17088,0.58692,1.04675,0.92542,0.88082,0.93646,0.62044,1.23006,0.54032,1.10694,0.000929853,0.000929853,0.000929853
69,2119,1.16182,0.58058,1.03965,0.9308,0.8822,0.94144,0.62302,1.22535,0.53156,1.10597,0.00091885,0.00091885,0.00091885
70,2149.4,1.15687,0.57676,1.03973,0.9272,0.88399,0.93831,0.62163,1.21998,0.53167,1.09796,0.000907848,0.000907848,0.000907848
71,2179.81,1.16393,0.57548,1.03879,0.92564,0.88264,0.93752,0.62169,1.22057,0.53286,1.10355,0.000896846,0.000896846,0.000896846
72,2210.14,1.16132,0.58291,1.03787,0.93249,0.87726,0.93827,0.62309,1.22002,0.5328,1.10018,0.000885844,0.000885844,0.000885844
73,2240.6,1.15115,0.57719,1.03588,0.91261,0.89507,0.9373,0.62096,1.22492,0.5312,1.10461,0.000874842,0.000874842,0.000874842
74,2270.96,1.15326,0.57904,1.03688,0.93376,0.88263,0.93926,0.62285,1.22316,0.53265,1.10573,0.000863839,0.000863839,0.000863839
75,2301.18,1.15301,0.57553,1.03829,0.92038,0.88739,0.93871,0.62484,1.218,0.52984,1.10015,0.000852837,0.000852837,0.000852837
76,2331.7,1.15558,0.57465,1.03813,0.92684,0.88991,0.94255,0.62536,1.21492,0.53073,1.10446,0.000841835,0.000841835,0.000841835
77,2362.12,1.15082,0.57165,1.03945,0.93103,0.88371,0.94399,0.62882,1.21626,0.53193,1.10318,0.000830833,0.000830833,0.000830833
78,2392.65,1.15478,0.57153,1.03556,0.92693,0.89187,0.94192,0.62772,1.20851,0.52523,1.10079,0.000819831,0.000819831,0.000819831
79,2422.9,1.15129,0.57048,1.03633,0.91748,0.89303,0.94286,0.62684,1.21804,0.52698,1.10357,0.000808828,0.000808828,0.000808828
80,2453.49,1.14576,0.56682,1.03534,0.92925,0.88567,0.94137,0.62754,1.21678,0.52239,1.10589,0.000797826,0.000797826,0.000797826
81,2483.77,1.14463,0.57016,1.03457,0.93424,0.87964,0.94015,0.62635,1.21375,0.52688,1.10183,0.000786824,0.000786824,0.000786824
82,2514.12,1.14085,0.56246,1.03429,0.92299,0.896,0.94229,0.62914,1.21505,0.52334,1.10153,0.000775822,0.000775822,0.000775822
83,2544.61,1.12929,0.56049,1.02826,0.93053,0.89558,0.94239,0.62671,1.21578,0.52296,1.10285,0.00076482,0.00076482,0.00076482
